Mfr Name,Name,Carline,MPG
Maserati,GRANTURISMO,Maserati - Subcompact Cars,16
Maserati,GRANTURISMO CONVERTIBLE,Maserati - Subcompact Cars,15
Mercedes-Benz,E 400 (convertible),Mercedes-Benz - Subcompact Cars,24
Mercedes-Benz,E 400 (coupe),Mercedes-Benz - Subcompact Cars,24
Mercedes-Benz,E 400 4MATIC (coupe),Mercedes-Benz - Subcompact Cars,23
Mercedes-Benz,E 550 (convertible),Mercedes-Benz - Subcompact Cars,20
Mercedes-Benz,E 550 (coupe),Mercedes-Benz - Subcompact Cars,21
BMW,MINI COOPER HARDTOP 2 DOOR,BMW - Subcompact Cars,31
BMW,MINI COOPER HARDTOP 2 DOOR,BMW - Subcompact Cars,32
BMW,MINI COOPER HARDTOP 4 DOOR,BMW - Subcompact Cars,31
BMW,MINI COOPER HARDTOP 4 DOOR,BMW - Subcompact Cars,33
BMW,Mini Cooper S Hardtop 2 door,BMW - Subcompact Cars,29
BMW,Mini Cooper S Hardtop 2 door,BMW - Subcompact Cars,27
BMW,Mini Cooper S Hardtop 4 door,BMW - Subcompact Cars,29
BMW,Mini Cooper S Hardtop 4 door,BMW - Subcompact Cars,27
BMW,MINI John Cooper Works Hardtop,BMW - Subcompact Cars,28
BMW,MINI John Cooper Works Hardtop,BMW - Subcompact Cars,26
Nissan,GT-R,Nissan - Subcompact Cars,19
Roush,Roush Stage 3 Mustang,Roush - Subcompact Cars,17
Roush,Roush Stage 3 Mustang,Roush - Subcompact Cars,16
Toyota,iA,Toyota - Subcompact Cars,37
Toyota,iA,Toyota - Subcompact Cars,35
Volkswagen Group of America,Beetle Convertible,Volkswagen Group of America - Subcompact Cars,28
Volkswagen Group of America,Beetle Convertible,Volkswagen Group of America - Subcompact Cars,26
Volkswagen Group of America,Beetle Convertible,Volkswagen Group of America - Subcompact Cars,26
Volkswagen Group of America,Eos,Volkswagen Group of America - Subcompact Cars,25
Honda,ILX,Honda - Compact Cars,29
Honda,TLX 2WD,Honda - Compact Cars,28
Honda,TLX 2WD,Honda - Compact Cars,25
Honda,TLX 4WD,Honda - Compact Cars,25
Volkswagen Group of America,A4,Volkswagen Group of America - Compact Cars,27
Volkswagen Group of America,A4 quattro,Volkswagen Group of America - Compact Cars,25
Volkswagen Group of America,A4 quattro,Volkswagen Group of America - Compact Cars,26
Volkswagen Group of America,Q3,Volkswagen Group of America - Compact Cars,23
Volkswagen Group of America,Q3 quattro,Volkswagen Group of America - Compact Cars,23
Volkswagen Group of America,S4,Volkswagen Group of America - Compact Cars,21
Volkswagen Group of America,S4,Volkswagen Group of America - Compact Cars,20
Volkswagen Group of America,Continental GT,Volkswagen Group of America - Compact Cars,19
Volkswagen Group of America,Continental GT,Volkswagen Group of America - Compact Cars,15
BMW,320i,BMW - Compact Cars,28
BMW,320i,BMW - Compact Cars,28
BMW,320i xDrive,BMW - Compact Cars,27
BMW,328d,BMW - Compact Cars,36
BMW,328d xDrive,BMW - Compact Cars,34
BMW,328i,BMW - Compact Cars,27
BMW,328i,BMW - Compact Cars,26
BMW,328i xDrive,BMW - Compact Cars,26
BMW,340i,BMW - Compact Cars,26
BMW,340i,BMW - Compact Cars,23
BMW,340i xDrive,BMW - Compact Cars,26
BMW,340i xDrive,BMW - Compact Cars,23
BMW,428i Coupe,BMW - Compact Cars,27
BMW,428i Coupe,BMW - Compact Cars,26
BMW,428i Gran Coupe,BMW - Compact Cars,27
BMW,428i xDrive Coupe,BMW - Compact Cars,26
BMW,428i xDrive Gran Coupe,BMW - Compact Cars,26
BMW,435i Coupe,BMW - Compact Cars,24
BMW,435i Coupe,BMW - Compact Cars,23
BMW,435i Gran Coupe,BMW - Compact Cars,24
BMW,435i xDrive Coupe,BMW - Compact Cars,23
BMW,435i xDrive Coupe,BMW - Compact Cars,22
BMW,435i xDrive Gran Coupe,BMW - Compact Cars,23
BMW,640i Gran Coupe,BMW - Compact Cars,24
BMW,640i xDrive Gran Coupe,BMW - Compact Cars,23
BMW,650i Gran Coupe,BMW - Compact Cars,20
BMW,650i xDrive Gran Coupe,BMW - Compact Cars,18
BMW,Alpina B6 Gran Coupe xDrive,BMW - Compact Cars,18
BMW,M3,BMW - Compact Cars,19
BMW,M3,BMW - Compact Cars,20
BMW,M4 Coupe,BMW - Compact Cars,19
BMW,M4 Coupe,BMW - Compact Cars,20
BMW,M6 Gran Coupe,BMW - Compact Cars,16
BMW,M6 Gran Coupe,BMW - Compact Cars,17
General Motors,VERANO,General Motors - Compact Cars,24
General Motors,VERANO,General Motors - Compact Cars,24
General Motors,VERANO,General Motors - Compact Cars,25
General Motors,ATS,General Motors - Compact Cars,26
General Motors,ATS,General Motors - Compact Cars,23
General Motors,ATS,General Motors - Compact Cars,26
General Motors,ATS,General Motors - Compact Cars,24
General Motors,ATS AWD,General Motors - Compact Cars,25
General Motors,ATS AWD,General Motors - Compact Cars,22
General Motors,ATS-V,General Motors - Compact Cars,19
General Motors,ATS-V,General Motors - Compact Cars,19
General Motors,CAMARO,General Motors - Compact Cars,25
General Motors,CAMARO,General Motors - Compact Cars,24
General Motors,CAMARO,General Motors - Compact Cars,23
General Motors,CAMARO,General Motors - Compact Cars,21
General Motors,CAMARO,General Motors - Compact Cars,20
General Motors,CAMARO,General Motors - Compact Cars,19
General Motors,CRUZE,General Motors - Compact Cars,35
General Motors,CRUZE,General Motors - Compact Cars,33
General Motors,CRUZE PREMIER,General Motors - Compact Cars,34
General Motors,SONIC,General Motors - Compact Cars,31
General Motors,SONIC,General Motors - Compact Cars,33
General Motors,SONIC,General Motors - Compact Cars,28
General Motors,SONIC,General Motors - Compact Cars,30
General Motors,SONIC RS,General Motors - Compact Cars,28
General Motors,SONIC RS,General Motors - Compact Cars,30
Ford Motor Company,Fiesta ST FWD,Ford Motor Company - Compact Cars,29
Ford Motor Company,FOCUS FWD,Ford Motor Company - Compact Cars,32
Ford Motor Company,FOCUS FWD,Ford Motor Company - Compact Cars,35
Ford Motor Company,FOCUS FWD,Ford Motor Company - Compact Cars,31
Ford Motor Company,FOCUS FWD,Ford Motor Company - Compact Cars,30
Ford Motor Company,FOCUS FWD,Ford Motor Company - Compact Cars,30
Ford Motor Company,Focus FWD FFV,Ford Motor Company - Compact Cars,31
Ford Motor Company,Focus FWD FFV,Ford Motor Company - Compact Cars,30
Ford Motor Company,Focus FWD FFV,Ford Motor Company - Compact Cars,30
Honda,CIVIC 2Dr,Honda - Compact Cars,35
Honda,CIVIC 2Dr,Honda - Compact Cars,34
Honda,CIVIC 2Dr,Honda - Compact Cars,31
Hyundai,Accent,Hyundai - Compact Cars,30
Hyundai,Accent,Hyundai - Compact Cars,31
Hyundai,Veloster,Hyundai - Compact Cars,31
Hyundai,Veloster,Hyundai - Compact Cars,29
Hyundai,Veloster,Hyundai - Compact Cars,30
Hyundai,Veloster,Hyundai - Compact Cars,28
Nissan,Q50 HYBRID,Nissan - Compact Cars,30
Nissan,Q50 HYBRID AWD,Nissan - Compact Cars,28
Kia,Forte Koup,Kia - Compact Cars,25
Kia,Forte Koup,Kia - Compact Cars,25
Kia,Forte Koup,Kia - Compact Cars,28
Kia,Forte Koup,Kia - Compact Cars,27
Kia,Rio,Kia - Compact Cars,31
Kia,Rio,Kia - Compact Cars,31
Kia,Rio ECO,Kia - Compact Cars,31
Toyota,CT 200h,Toyota - Compact Cars,42
Toyota,GS F,Toyota - Compact Cars,19
Toyota,IS 200t,Toyota - Compact Cars,26
Toyota,IS 300 AWD,Toyota - Compact Cars,21
Toyota,IS 350,Toyota - Compact Cars,22
Toyota,IS 350 AWD,Toyota - Compact Cars,21
MAZDA,CX-3 2WD,MAZDA - Compact Cars,31
MAZDA,CX-3 4WD,MAZDA - Compact Cars,29
MAZDA,MAZDA 2,MAZDA - Compact Cars,37
MAZDA,MAZDA 2,MAZDA - Compact Cars,35
MAZDA,MAZDA3 4-Door,MAZDA - Compact Cars,34
MAZDA,MAZDA3 4-Door,MAZDA - Compact Cars,33
MAZDA,MAZDA3 4-Door,MAZDA - Compact Cars,33
MAZDA,MAZDA3 4-Door,MAZDA - Compact Cars,32
MAZDA,MAZDA3 4-Door,MAZDA - Compact Cars,29
Mercedes-Benz,AMG C 63,Mercedes-Benz - Compact Cars,20
Mercedes-Benz,AMG C 63 S,Mercedes-Benz - Compact Cars,20
Mercedes-Benz,AMG CLA 45 4MATIC,Mercedes-Benz - Compact Cars,26
Mercedes-Benz,AMG CLS 63 S 4MATIC,Mercedes-Benz - Compact Cars,18
Mercedes-Benz,AMG S 63 4MATIC (coupe),Mercedes-Benz - Compact Cars,18
Mercedes-Benz,AMG S 65 (coupe),Mercedes-Benz - Compact Cars,15
Mercedes-Benz,C 300,Mercedes-Benz - Compact Cars,28
Mercedes-Benz,C 300 4MATIC,Mercedes-Benz - Compact Cars,27
Mercedes-Benz,C 450 AMG,Mercedes-Benz - Compact Cars,24
Mercedes-Benz,CLA 250,Mercedes-Benz - Compact Cars,30
Mercedes-Benz,CLA 250 4MATIC,Mercedes-Benz - Compact Cars,27
Mercedes-Benz,CLA 250 4MATIC,Mercedes-Benz - Compact Cars,27
Mercedes-Benz,CLS 400,Mercedes-Benz - Compact Cars,24
Mercedes-Benz,CLS 400 4MATIC,Mercedes-Benz - Compact Cars,22
Mercedes-Benz,CLS 550,Mercedes-Benz - Compact Cars,21
Mercedes-Benz,CLS 550 4MATIC,Mercedes-Benz - Compact Cars,20
Mercedes-Benz,S 550 4MATIC (coupe),Mercedes-Benz - Compact Cars,19
BMW,Mini Cooper Countryman,BMW - Compact Cars,27
BMW,Mini Cooper Countryman,BMW - Compact Cars,29
